Freeze,21Virtuoso,AD Carry,H2K,294.58,18.41,32,83,68,137,"9,377",2,3 / 0 / 0
Kiwikid,,Support,NRG Esports,293.64,16.31,43,25,124,295,"1,474",11,1 / 0 / 0
kaSing,Uraziel1,Support,Team Vitality,290.55,16.14,36,18,74,265,"1,366",11,0 / 0 / 0
Gate,,Support,Phoenix1,289.82,16.10,46,28,153,292,"1,652",11,0 / 0 / 0
Gilius,,Jungler,FC Schalke 04,288.32,16.02,36,58,106,208,"5,181",5,1 / 0 / 0
Zig,,Top,Phoenix1,286.44,17.90,39,63,101,182,"9,132",5,0 / 0 / 0
Hylissang,,Support,Unicorns of Love,285.85,15.88,36,14,96,274,989,11,0 / 0 / 0
Raise,,Support,ROCCAT,284.37,15.80,36,9,129,288,"1,175",15,0 / 0 / 0
Inori,,Jungler,Phoenix1,261.26,21.77,32,90,72,168,"4,412",6,1 / 0 / 0
Hybrid,,Support,Origen,257.45,14.30,36,18,90,245,"1,503",7,0 / 0 / 0
Keith,CheesePuppy,AD Carry,Echo Fox,254.74,14.15,42,77,109,136,"12,005",1,2 / 0 / 0
Gamsu,,Top,Fnatic,232.03,19.34,24,45,44,153,"6,426",6,1 / 0 / 0
xPeke,,"Mid, AD Carry",Origen,221.19,15.80,27,61,97,113,"9,868",1,0 / 0 / 0
kfo,,Top,Echo Fox,219.52,12.20,42,81,138,93,"11,374",1,2 / 0 / 0
Big,,Support,Echo Fox,211.26,11.74,42,16,111,223,984,4,0 / 0 / 0
Bunny FuFuu,Hikari no Saberu,Support,Cloud9 ,200.12,16.68,16,7,27,141,487,8,0 / 0 / 0
Kikis,GreysAnatomy Fan,Top,Fnatic,198.00,19.80,17,52,35,84,"4,458",3,0 / 0 / 0
Airwaks,,Jungler,ROCCAT,183.74,15.31,24,49,96,132,"3,334",4,0 / 0 / 0
Hard,UT Reformed Me,Jungler,Echo Fox,178.98,11.93,33,30,80,135,"4,276",2,0 / 1 / 0
Shook,Uraziel1,Jungler,Team Vitality,170.10,17.01,20,37,46,106,"2,562",2,0 / 0 / 0
