Split,Week,Team,Opponent,Result,Points
1.0,5.0,TL ,CLG,1.0,19.0
1.0,5.0,UOL,GIA,0.0,13.0
1.0,5.0,GIA,UOL,1.0,12.0
1.0,5.0,GV ,TIP,1.0,12.0
1.0,5.0,ROC,UOL,1.0,21.0
1.0,5.0,T8 ,NME,1.0,16.0
1.0,5.0,TL , GV,0.0,8.0
1.0,5.0,UOL,ROC,0.0,5.0
1.0,5.0,GIA, EL,0.0,4.0
1.0,5.0,GV , TL,1.0,18.0
1.0,5.0,OG ,GMB,1.0,20.0
1.0,5.0,TDK, C9,0.0,3.0
1.0,6.0,UOL, OG,1.0,20.0
1.0,6.0,GIA,FNC,0.0,15.0
1.0,6.0,GV ,CLG,1.0,15.0
1.0,6.0,ROC,GMB,0.0,8.0
1.0,6.0,T8 , C9,1.0,20.0
1.0,6.0,TL ,DIG,1.0,16.0
1.0,6.0,UOL,H2K,0.0,3.0
1.0,6.0,GIA, SK,1.0,17.0
1.0,6.0,GV ,TSM,1.0,22.0
1.0,6.0,OG ,UOL,0.0,12.0
1.0,6.0,TDK,TSM,0.0,9.0
1.0,6.0,TSM,TDK,1.0,19.0
1.0,6.0,FNC,GIA,1.0,19.0
1.0,6.0,H2K, EL,1.0,17.0
1.0,6.0,OG , EL,1.0,17.0
1.0,6.0,TDK,NME,0.0,12.0
1.0,6.0,TSM, GV,0.0,3.0
1.0,6.0,FNC, CW,1.0,20.0
1.0,6.0,H2K,UOL,1.0,22.0
1.0,6.0,TIP,NME,1.0,17.0
1.0,6.0,C9 , TL,0.0,9.0
1.0,6.0,CW ,GMB,0.0,8.0
1.0,6.0,TIP,CLG,1.0,15.0
1.0,6.0,C9 , T8,0.0,6.0
1.0,6.0,CW ,FNC,0.0,3.0
1.0,6.0,NME,TIP,0.0,2.0
1.0,6.0,CLG, GV,0.0,6.0
1.0,6.0,DIG, T8,1.0,15.0
1.0,6.0,EL ,H2K,0.0,8.0
1.0,6.0,GMB, CW,1.0,17.0
1.0,6.0,NME,TDK,1.0,17.0
1.0,6.0,SK ,ROC,0.0,22.0
1.0,6.0,CLG,TIP,0.0,15.0
1.0,6.0,DIG, TL,0.0,2.0
1.0,6.0,EL , OG,0.0,2.0
1.0,6.0,GMB,ROC,1.0,18.0
1.0,6.0,ROC, SK,1.0,11.0
1.0,6.0,SK ,GIA,0.0,15.0
1.0,6.0,T8 ,DIG,0.0,5.0
1.0,6.0,TL , C9,1.0,20.0
1.0,7.0,CLG,NME,1.0,21.0
1.0,7.0,DIG,TIP,0.0,4.0
1.0,7.0,EL ,ROC,1.0,18.0
1.0,7.0,GMB, SK,1.0,21.0
1.0,7.0,NME, GV,0.0,3.0
1.0,7.0,SK ,GMB,0.0,2.0
1.0,7.0,CLG,TDK,1.0,17.0
1.0,7.0,DIG, C9,0.0,1.0
1.0,7.0,EL ,UOL,0.0,8.0
1.0,7.0,GMB,GIA,0.0,3.0
1.0,7.0,ROC, EL,0.0,10.0
1.0,7.0,SK , CW,1.0,17.0
1.0,7.0,T8 ,TSM,1.0,22.0
1.0,7.0,TL ,TDK,1.0,20.0
1.0,7.0,UOL, CW,1.0,21.0
1.0,7.0,GIA, OG,0.0,7.0
1.0,7.0,GV , C9,1.0,23.0
1.0,7.0,ROC,H2K,1.0,13.0
1.0,7.0,T8 ,TIP,0.0,10.0
1.0,7.0,TL ,TSM,1.0,20.0
1.0,7.0,UOL, EL,1.0,15.0
1.0,7.0,GIA,GMB,1.0,23.0
1.0,7.0,GV ,NME,1.0,18.0
1.0,7.0,OG ,GIA,1.0,17.0
1.0,7.0,TDK, TL,0.0,4.0
1.0,7.0,TSM, T8,0.0,3.0
1.0,7.0,FNC,H2K,1.0,16.0
1.0,7.0,H2K,FNC,0.0,11.0
1.0,7.0,OG ,FNC,0.0,12.0
1.0,7.0,TDK,CLG,0.0,11.0
1.0,7.0,TSM, TL,0.0,7.0
1.0,7.0,FNC, OG,1.0,17.0
1.0,7.0,H2K,ROC,0.0,12.0
1.0,7.0,TIP,DIG,1.0,17.0
1.0,7.0,C9 , GV,0.0,4.0
1.0,7.0,CW ,UOL,0.0,3.0
1.0,7.0,TIP, T8,1.0,13.0
1.0,7.0,C9 ,DIG,1.0,18.0
1.0,7.0,CW , SK,0.0,2.0
1.0,7.0,NME,CLG,0.0,3.0
1.0,8.0,C9 ,NME,1.0,19.0
1.0,8.0,CW , EL,0.0,8.0
1.0,8.0,TIP,TDK,1.0,19.0
1.0,8.0,C9 ,CLG,0.0,12.0
1.0,8.0,CW ,H2K,1.0,22.0
1.0,8.0,NME, C9,0.0,1.0
1.0,8.0,CLG, TL,1.0,17.0
1.0,8.0,DIG, GV,1.0,19.0
1.0,8.0,EL , CW,1.0,20.0
1.0,8.0,GMB, OG,1.0,19.0
1.0,8.0,NME, TL,0.0,1.0
1.0,8.0,SK ,UOL,1.0,20.0
1.0,8.0,CLG, C9,1.0,19.0
1.0,8.0,DIG,TSM,0.0,3.0
1.0,8.0,EL ,FNC,0.0,6.0
1.0,8.0,GMB,UOL,0.0,5.0
1.0,8.0,ROC,FNC,0.0,5.0
1.0,8.0,SK , OG,0.0,3.0
1.0,8.0,T8 ,TDK,1.0,22.0
1.0,8.0,TL ,CLG,0.0,4.0
1.0,8.0,UOL, SK,0.0,2.0
1.0,8.0,GIA,H2K,0.0,2.0
1.0,8.0,GV ,DIG,0.0,16.0
1.0,8.0,ROC,GIA,1.0,20.0
1.0,8.0,T8 , GV,0.0,10.0
1.0,8.0,TL ,NME,1.0,22.0
1.0,8.0,UOL,GMB,1.0,19.0
1.0,8.0,GIA,ROC,0.0,8.0
1.0,8.0,GV , T8,1.0,21.0
1.0,8.0,OG ,GMB,0.0,7.0
1.0,8.0,TDK, T8,0.0,10.0
1.0,8.0,TSM,TIP,0.0,9.0
1.0,8.0,FNC,ROC,1.0,22.0
1.0,8.0,H2K,GIA,1.0,20.0
1.0,8.0,OG , SK,1.0,23.0
1.0,8.0,TDK,TIP,0.0,5.0
1.0,8.0,TSM,DIG,1.0,21.0
1.0,8.0,FNC, EL,1.0,20.0
1.0,8.0,H2K, CW,0.0,13.0
1.0,8.0,TIP,TSM,1.0,18.0
1.0,9.0,TSM,NME,1.0,19.0
1.0,9.0,FNC, SK,1.0,20.0
1.0,9.0,H2K, OG,0.0,5.0
1.0,9.0,OG ,ROC,0.0,9.0
1.0,9.0,TDK, GV,1.0,20.0
1.0,9.0,TSM, C9,0.0,7.0
1.0,9.0,FNC,UOL,1.0,17.0
1.0,9.0,H2K,GMB,1.0,17.0
1.0,9.0,TIP, GV,1.0,19.0
1.0,9.0,C9 ,TDK,0.0,6.0
1.0,9.0,CW ,ROC,1.0,15.0
1.0,9.0,TIP, TL,0.0,15.0
1.0,9.0,C9 ,TSM,1.0,15.0
1.0,9.0,CW ,GIA,0.0,11.0
1.0,9.0,NME,TSM,0.0,17.0
1.0,9.0,CLG,DIG,1.0,22.0
1.0,9.0,DIG,CLG,0.0,1.0
1.0,9.0,EL ,GMB,1.0,21.0
1.0,9.0,GMB, EL,0.0,17.0
1.0,9.0,NME,DIG,0.0,4.0
1.0,9.0,SK ,FNC,0.0,7.0
1.0,9.0,CLG, T8,1.0,19.0
1.0,9.0,DIG,NME,1.0,19.0
1.0,9.0,EL , SK,0.0,14.0
1.0,9.0,GMB,H2K,0.0,7.0
1.0,9.0,ROC, CW,0.0,9.0
1.0,9.0,SK , EL,1.0,18.0
1.0,9.0,T8 , TL,0.0,8.0
1.0,9.0,TL , T8,1.0,15.0
1.0,9.0,UOL,GIA,1.0,13.0
1.0,9.0,GIA,UOL,0.0,15.0
1.0,9.0,GV ,TIP,0.0,6.0
1.0,9.0,ROC, OG,1.0,18.0
1.0,9.0,T8 ,CLG,0.0,4.0
1.0,9.0,TL ,TIP,1.0,23.0
1.0,9.0,UOL,FNC,0.0,4.0
1.0,9.0,GIA, CW,1.0,17.0
1.0,9.0,GV ,TDK,0.0,3.0
1.0,9.0,OG ,H2K,1.0,22.0
1.0,9.0,TDK, C9,1.0,19.0
2.0,1.0,FOX,TIP,1.0,17.0
2.0,1.0,IMT, C9,1.0,19.0
2.0,1.0,FOX, C9,0.0,2.0
2.0,1.0,IMT,TIP,1.0,18.0
2.0,1.0,REN, TL,1.0,26.0
2.0,1.0,G2 , EL,1.0,18.0
2.0,1.0,REN,NRG,0.0,5.0
2.0,1.0,G2 ,ROC,1.0,17.0
2.0,1.0,NRG,DIG,1.0,21.0
2.0,1.0,VIT,ROC,0.0,5.0
2.0,1.0,NRG,REN,1.0,18.0
2.0,1.0,SPY,UOL,0.0,2.0
2.0,1.0,VIT,FNC,1.0,22.0
2.0,1.0,SPY, EL,0.0,5.0
2.0,2.0,VIT,SPY,1.0,21.0
2.0,2.0,NRG,IMT,0.0,5.0
2.0,2.0,SPY,VIT,0.0,4.0
2.0,2.0,VIT, OG,1.0,12.0
2.0,2.0,SPY,ROC,1.0,16.0
2.0,2.0,FOX,NRG,0.0,0.0
2.0,2.0,IMT,TSM,1.0,18.0
2.0,2.0,FOX, TL,0.0,17.0
2.0,2.0,IMT,NRG,1.0,19.0
2.0,2.0,REN,DIG,0.0,12.0
2.0,2.0,G2 ,GIA,1.0,16.0
2.0,2.0,REN,TIP,0.0,8.0
2.0,2.0,G2 ,H2K,0.0,5.0
2.0,2.0,NRG,FOX,1.0,0.0
2.0,3.0,G2 ,FNC,1.0,18.0
2.0,3.0,REN,CLG,0.0,2.0
2.0,3.0,G2 ,UOL,1.0,19.0
2.0,3.0,NRG, TL,0.0,2.0
2.0,3.0,VIT,H2K,0.0,3.0
2.0,3.0,NRG,TSM,1.0,16.0
2.0,3.0,SPY,GIA,1.0,18.0
2.0,3.0,VIT,GIA,1.0,18.0
2.0,3.0,SPY,FNC,0.0,6.0
2.0,3.0,FOX,CLG,0.0,2.0
2.0,3.0,IMT,REN,1.0,18.0
2.0,3.0,FOX,IMT,0.0,1.0
2.0,3.0,IMT,FOX,1.0,15.0
2.0,3.0,REN,IMT,0.0,3.0
2.0,4.0,REN, C9,0.0,3.0
2.0,4.0,G2 , OG,1.0,20.0
2.0,4.0,REN,TSM,0.0,13.0
