1,Week 1,,,TIP vs. T8,Win (1-0),36.03,36.03,1,8,0,10,303,1,0 / 0 / 0
1,Week 1,,,TIP vs. CLG,Loss (0-0),15.02,15.02,1,3,0,4,302,0,0 / 0 / 0
1,Week 2,,,TIP vs. TSM,Loss (0-0),14.02,14.02,1,3,0,4,202,0,0 / 0 / 0
1,Week 2,,,TIP vs. C9,Win (1-0),15.88,15.88,1,1,0,8,188,0,0 / 0 / 0
1,Week 3,,,TIP vs. TDK,Win (1-0),16.76,16.76,1,3,0,6,176,0,0 / 0 / 0
1,Week 3,,,TIP vs. TL,Loss (0-0),10.01,10.01,1,1,0,4,201,0,0 / 0 / 0
1,Week 4,,,TIP vs. DIG,Loss (0-0),14,14,1,4,0,2,300,0,0 / 0 / 0
1,Week 4,,,TIP vs. NME,Win (1-0),33.61,33.61,1,7,0,11,111,1,0 / 0 / 0
1,Week 5,,,TIP vs. GV,Loss (0-0),31.72,31.72,1,4,0,13,222,1,0 / 0 / 0
1,Week 5,,,TIP vs. C9,Win (1-0),34.59,34.59,1,5,0,14,159,1,0 / 0 / 0
1,Week 6,,,TIP vs. NME,Win (1-0),28.16,28.16,1,2,0,13,266,1,0 / 0 / 0
1,Week 6,,,TIP vs. CLG,Win (1-0),15.11,15.11,1,2,0,6,211,0,0 / 0 / 0
1,Week 7,,,TIP vs. DIG,Win (1-0),28.92,28.92,1,3,0,13,142,1,0 / 0 / 0
1,Week 7,,,TIP vs. T8,Win (1-0),20.26,20.26,1,4,0,6,326,0,0 / 0 / 0
1,Week 8,,,TIP vs. TSM,Win (1-0),21.44,21.44,1,3,0,9,194,0,0 / 0 / 0
1,Week 8,,,TIP vs. TDK,Win (1-0),30.43,30.43,1,4,0,12,243,1,0 / 0 / 0
1,Week 9,,,TIP vs. GV,Win (1-0),34.74,34.74,1,3,0,16,274,1,0 / 0 / 0
1,Week 9,,,TIP vs. TL,Loss (0-0),41.77,41.77,1,6,0,16,377,1,0 / 0 / 0
1,FeniX,PWG Pups,Mid,Team Liquid,,438.89,24.38,18,85,0,124,"6,389",4,3/1/2000
