Split,Week,Player,Position,Team,Opponent,Result,Points,TeamPoints
1.0,1.0,HJARNAN,AD Carry,H2K,ROC,1.0,27.73,12.0
1.0,1.0,QUAS,Top,TL ,TDK,1.0,36.56,20.0
1.0,1.0,YELLOWSTAR,Support,FNC,UOL,1.0,23.87,17.0
1.0,1.0,ALTEC,AD Carry,GV ,NME,0.0,37.74,18.0
1.0,1.0,RYU,Mid,H2K,ROC,1.0,23.03,12.0
1.0,1.0,IWDOMINATE,Jungler,TL ,TDK,1.0,30.34,20.0
1.0,1.0,DARSHAN,Top,CLG,DIG,1.0,25.01,22.0
1.0,1.0,XIAOWEIXIAO,Mid,TIP, T8,1.0,24.67,13.0
1.0,1.0,REIGNOVER,Jungler,FNC,UOL,1.0,26.45,17.0
1.0,1.0,XPECIAL,Support,TL ,TDK,1.0,20.91,20.0
1.0,1.0,FOX,Mid,SK , CW,0.0,4.14,17.0
1.0,1.0,NUKEDUCK,Mid,ROC,H2K,0.0,11.15,13.0
1.0,1.0,ADRYH,AD Carry,GIA, OG,0.0,11.31,7.0
1.0,1.0,ODOAMNE,Top,H2K,ROC,1.0,31.24,12.0
1.0,1.0,AMAZING,Jungler,OG ,GIA,1.0,23.12,17.0
1.0,1.0,POWEROFEVIL,Mid,UOL,FNC,0.0,7.93,4.0
1.0,1.0,MITHY,Support,OG ,GIA,1.0,26.16,17.0
1.0,1.0,SHIPHTUR,Mid,DIG,CLG,0.0,7.49,1.0
1.0,1.0,BUNNY FUFUU,Support,GV ,NME,0.0,31.35,18.0
1.0,1.0,VIZICSACSI,Top,UOL,FNC,0.0,8.6,4.0
1.0,1.0,WERLYB,Top,GIA, OG,0.0,10.93,7.0
1.0,1.0,WILDTURTLE,AD Carry,TSM, C9,0.0,13.58,7.0
1.0,1.0,JENSEN,Mid,C9 ,DIG,0.0,8.37,18.0
1.0,1.0,DYRUS,Top,TSM,NME,1.0,17.84,19.0
1.0,1.0,MRRALLEZ,AD Carry,ROC,H2K,0.0,0.0,13.0
1.0,1.0,SOREN,Mid,CW , SK,1.0,17.82,2.0
1.0,1.0,METEOS,Jungler,C9 ,TSM,1.0,25.89,15.0
1.0,1.0,BISCHU,Mid,TDK, GV,0.0,15.11,20.0
1.0,1.0,AZINGY,Jungler,DIG, C9,1.0,21.75,1.0
1.0,1.0,MAPLESTREET8,AD Carry,T8 ,TIP,0.0,10.34,10.0
1.0,1.0,BABY,Support,TDK, TL,0.0,6.38,4.0
1.0,1.0,SERAPH,Top,TDK, GV,0.0,15.34,20.0
1.0,1.0,FREDY122,Top,SK ,FNC,0.0,13.52,7.0
1.0,1.0,PORPOISE8,Jungler,T8 , TL,0.0,23.84,8.0
1.0,1.0,OTTER,AD Carry,NME,TSM,0.0,7.09,17.0
1.0,1.0,VANDER,Support,ROC,GMB,1.0,31.97,8.0
1.0,1.0,CALITRLOLZ8,Top,T8 , TL,0.0,24.82,8.0
1.0,1.0,FR3DERIC,Jungler,GIA, CW,1.0,29.76,17.0
1.0,1.0,G0DFRED,Support,GIA, CW,1.0,30.11,17.0
1.0,1.0,HYLISSANG,Support,UOL, EL,1.0,15.59,15.0
1.0,1.0,KIWIKID,Support,DIG, C9,1.0,18.97,1.0
1.0,1.0,LEMONNATION,Support,C9 ,DIG,0.0,3.28,18.0
1.0,1.0,KIKIS,Jungler,UOL, EL,1.0,17.92,15.0
1.0,1.0,FORG1VEN,AD Carry,GMB, EL,0.0,10.76,17.0
1.0,1.0,BODYDROP,Support,NME, GV,1.0,24.98,3.0
1.0,1.0,APOLLO,AD Carry,TIP,CLG,0.0,23.29,9.0
1.0,1.0,PIGLET,AD Carry,TL , T8,1.0,31.67,19.0
1.0,1.0,IMPACT,Top,TIP,CLG,0.0,15.02,9.0
1.0,1.0,FEBIVEN,Mid,FNC, SK,1.0,38.54,19.0
1.0,1.0,HJARNAN,AD Carry,H2K, OG,0.0,11.02,2.0
1.0,1.0,QUAS,Top,TL , T8,1.0,32.45,19.0
1.0,1.0,YELLOWSTAR,Support,FNC, SK,1.0,25.48,19.0
1.0,1.0,ALTEC,AD Carry,GV ,TDK,1.0,21.24,16.0
1.0,1.0,RYU,Mid,H2K, OG,0.0,3.71,2.0
1.0,1.0,IWDOMINATE,Jungler,TL , T8,1.0,29.16,19.0
1.0,1.0,DARSHAN,Top,CLG,TIP,1.0,34.48,17.0
1.0,1.0,XIAOWEIXIAO,Mid,TIP,CLG,0.0,16.5,9.0
1.0,1.0,REIGNOVER,Jungler,FNC, SK,1.0,32.15,19.0
1.0,1.0,XPECIAL,Support,TL , T8,1.0,27.85,19.0
1.0,1.0,FOX,Mid,SK ,FNC,0.0,23.38,12.0
1.0,1.0,NUKEDUCK,Mid,ROC,GMB,1.0,30.35,22.0
1.0,1.0,ADRYH,AD Carry,GIA, CW,1.0,47.94,17.0
1.0,1.0,ODOAMNE,Top,H2K, OG,0.0,4.57,2.0
1.0,1.0,AMAZING,Jungler,OG ,H2K,1.0,20.27,21.0
1.0,1.0,POWEROFEVIL,Mid,UOL, EL,1.0,20.79,17.0
1.0,1.0,MITHY,Support,OG ,H2K,1.0,20.67,21.0
1.0,1.0,SHIPHTUR,Mid,DIG, C9,1.0,15.23,23.0
1.0,1.0,BUNNY FUFUU,Support,GV ,TDK,1.0,19.25,16.0
1.0,1.0,VIZICSACSI,Top,UOL, EL,1.0,24.52,17.0
1.0,1.0,WERLYB,Top,GIA, CW,1.0,19.17,17.0
1.0,1.0,WILDTURTLE,AD Carry,TSM,NME,1.0,19.88,16.0
1.0,1.0,VARDAGS,AD Carry,UOL,FNC,0.0,6.03,5.0
1.0,1.0,SVENSKEREN,Jungler,SK , CW,0.0,2.44,4.0
1.0,1.0,LOULEX,Jungler,H2K,ROC,1.0,22.81,20.0
1.0,1.0,MRRALLEZ,AD Carry,ROC,GMB,1.0,0.0,22.0
1.0,1.0,SOREN,Mid,CW ,GIA,0.0,25.65,6.0
1.0,1.0,METEOS,Jungler,C9 ,DIG,0.0,6.88,0.0
1.0,1.0,SLOOSHI8,Mid,T8 ,TIP,0.0,16.29,3.0
