HuHi,,Mid,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Hulberto,,Jungler,H2K,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Inori,,Jungler,Team Dignitas,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Kektz,,Top,Fnatic,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Kev1n,,Top,Elements,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Kyle,,Mid,Team Dragon Knights,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Matlife,,Support,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Noxiak,,Support,GIANTS GAMING,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
NyJacky,,Mid,Team Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Obvious,,Jungler,SK Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Overpow,,Top,ROCCAT,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
P1noy,,AD Carry,Gambit Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Patoy,,Support,Team SoloMid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Reginald,,Mid,Team SoloMid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Remilia,,Support,Team Dragon Knights,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Rhux,,Top,Team Impulse,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Rydle,,Support,GIANTS GAMING,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
saeca,,Top,Team Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Saintvicious,,Jungler,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Sheep,,Support,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
ShorterACE,,Jungler,Enemy Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Steeelback,,AD Carry,Fnatic,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Stixxay,,AD Carry,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Syaka,,Top,Team Impulse,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Thinkcard,,Jungler,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Tuki,,AD Carry,Unicorns Of Love,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Westrice,,Top,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Xpecake,,AD Carry,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Yusui,,Mid,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Zytan,,Support,SK Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
